r,Moskva,Judo,Judo Men's Open Class,NA
134015,Otakar "Ota" Zaremba,M,23,184,99,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,Gold
134016,Peter Timothy "Pete" Zaremba,M,24,195,92,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,Bronze
134017,Janusz Zarenkiewicz,M,29,188,91,Poland,POL,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Super-Heavyweight,Bronze
134018,Alexandra Zaretski,F,18,160,55,Israel-2,ISR,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,NA
134018,Alexandra Zaretski,F,22,160,55,Israel,ISR,2010 Winter,2010,Winter,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,NA
134019,Roman Zaretski,M,22,180,84,Israel-2,ISR,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,NA
134019,Roman Zaretski,M,26,180,84,Israel,ISR,2010 Winter,2010,Winter,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,NA
134020,Metodi Zarev,M,23,179,78,Bulgaria,BUL,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",NA
134021,Bogdana Zareva,F,22,175,60,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,NA
134022,Teodora Ivanova Zareva,F,24,183,72,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,NA
134022,Teodora Ivanova Zareva,F,24,183,72,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,NA
134022,Teodora Ivanova Zareva,F,28,183,72,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Pairs,NA
134023,Violeta Ivanova Zareva,F,20,183,72,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,NA
134023,Violeta Ivanova Zareva,F,20,183,72,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Eights,NA
134023,Violeta Ivanova Zareva,F,24,183,72,Bulgaria,BUL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Pairs,NA
134024,Hana Zarevck,F,27,176,64,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,NA
134025,Amir Zargari,M,24,176,62,Iran,IRI,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",NA
134025,Amir Zargari,M,31,176,62,Iran,IRI,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",NA
134026,Hugo Marcos Zarich,M,20,181,78,Argentina,ARG,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,NA
134027,Jorge Joo Zarif,M,19,191,97,Brazil,BRA,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,NA
134027,Jorge Joo Zarif,M,23,191,97,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Heavyweight Dinghy,NA
